"","pref","over_65"
"1","Hokkaido","31.9"
"2","Aomori","33.3"
"3","Iwate","33.1"
"4","Miyagi","28.3"
"5","Akita","37.2"
"6","Yamagata","33.4"
"7","Fukushima","31.5"
"8","Ibaraki","29.5"
"9","Tochigi","28.6"
"10","Gunma","29.8"
"11","Saitama","26.7"
"12","Chiba","27.9"
"13","Tokyo","23.1"
"14","Kanagawa","25.3"
"15","Niigata","32.4"
"16","Toyama","32.3"
"17","Ishikawa","29.6"
"18","Fukui","30.6"
"19","Yamanashi","30.8"
"20","Nagano","31.9"
"21","Gifu","30.1"
"22","Shizuoka","29.9"
"23","Aichi","25.1"
"24","Mie","29.7"
"25","Shiga","26"
"26","Kyoto","29.1"
"27","Osaka","27.6"
"28","Hyogo","29.1"
"29","Nara","31.3"
"30","Wakayama","33.1"
"31","Tottori","32.1"
"32","Shimane","34.3"
"33","Okayama","30.3"
"34","Hiroshima","29.3"
"35","Yamaguchi","34.3"
"36","Tokushima","33.6"
"37","Kagawa","31.8"
"38","Ehime","33"
"39","Kochi","35.2"
"40","Fukuoka","27.9"
"41","Saga","30.3"
"42","Nagasaki","32.7"
"43","Kumamoto","31.1"
"44","Oita","32.9"
"45","Miyazaki","32.3"
"46","Kagoshima","32"
"47","Okinawa","22.2"
